Player,Age,Team,Pos,G,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Gerry Ward,25,CHI,SG,76,13.7,1.5,4.0,.381,1.5,4.0,.381,.381,1.1,1.8,.630,2.4,1.7,2.2,4.2,
Jim Barnett,22,BOS,SG,48,8.0,1.6,4.4,.370,1.6,4.4,.370,.370,0.9,1.3,.677,1.1,0.9,1.3,4.1,
Henry Akin,22,NYK,PF,50,9.1,1.7,4.6,.361,1.7,4.6,.361,.361,0.5,0.7,.703,2.4,0.5,1.6,3.8,
Joe Ellis,22,SFW,SF,41,8.1,1.6,4.0,.409,1.6,4.0,.409,.409,0.5,0.6,.760,2.7,0.7,1.1,3.7,
Wayne Molis,23,NYK,C,13,5.8,1.5,3.9,.373,1.5,3.9,.373,.373,0.5,1.0,.538,1.7,0.2,0.7,3.5,
Neil Johnson,23,NYK,PF,51,10.2,1.2,3.4,.345,1.2,3.4,.345,.345,1.1,1.7,.663,3.3,0.7,2.0,3.4,
Dave Schellhase,22,CHI,PG,31,6.8,1.3,3.6,.360,1.3,3.6,.360,.360,0.5,0.7,.636,0.9,0.7,0.9,3.0,
Bob Warlick,25,SFW,SG,12,5.4,1.3,4.3,.288,1.3,4.3,.288,.288,0.5,0.9,.545,1.7,0.8,0.3,3.0,
Matt Guokas,22,PHI,SG,69,11.7,1.1,2.9,.389,1.1,2.9,.389,.389,0.7,1.2,.605,1.2,1.5,1.2,3.0,
John Block,22,LAL,PF,22,5.4,0.9,2.4,.385,0.9,2.4,.385,.385,1.1,1.5,.706,2.0,0.2,0.9,2.9,
Dorie Murrey,23,DET,PF,35,8.9,0.9,2.3,.402,0.9,2.3,.402,.402,0.9,1.5,.593,2.9,0.3,1.6,2.8,
Toby Kimball,24,BOS,PF,38,5.8,0.9,2.6,.361,0.9,2.6,.361,.361,0.7,1.1,.675,3.8,0.3,1.1,2.6,
Nate Bowman,23,CHI,C,9,7.2,0.9,2.3,.381,0.9,2.3,.381,.381,0.7,0.9,.750,3.1,0.2,2.0,2.4,
Bob Hogsett,26,DET,PF,7,3.1,0.7,2.3,.313,0.7,2.3,.313,.313,0.9,0.9,1.000,0.4,0.1,0.7,2.3,
Tommy Kron,23,STL,SG,32,6.9,0.8,2.7,.310,0.8,2.7,.310,.310,0.4,0.6,.684,1.1,1.4,1.1,2.1,
Jim Ware,22,CIN,PF,33,6.1,0.9,2.9,.309,0.9,2.9,.309,.309,0.3,0.5,.588,2.1,0.2,1.1,2.1,
Bob Weiss,24,PHI,PG,6,4.8,0.8,1.7,.500,0.8,1.7,.500,.500,0.3,0.8,.400,0.5,1.7,1.3,2.0,
Tom Hoover,26,STL,C,17,7.6,0.8,1.8,.419,0.8,1.8,.419,.419,0.3,0.8,.385,2.1,0.5,2.1,1.8,
Hank Finkel,24,LAL,C,27,5.2,0.6,1.7,.362,0.6,1.7,.362,.362,0.3,0.4,.583,2.4,0.2,1.4,1.5,
Ron Watts,23,BOS,,27,3.3,0.4,1.6,.250,0.4,1.6,.250,.250,0.6,0.9,.696,1.4,0.0,0.6,1.4,
Dave Deutsch,21,NYK,,19,4.9,0.3,1.9,.167,0.3,1.9,.167,.167,0.5,1.1,.450,1.1,0.8,0.9,1.1,
League Average,,,,,,,,.441,,,.441,.441,,,.732,,,,,
