,index,Player,Pos,Age,Tm,Height,Weight,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
329,4,Peter Aluma,C,25,SAC,208.3,118.0,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0
330,325,Pooh Richardson,PG,32,LAC,185.4,81.7,11,0,11.8,1.1,3.3,.333,0.0,0.5,.000,1.1,2.7,.400,.333,0.4,0.4,1.000,0.1,1.1,1.2,2.7,0.4,0.0,0.8,0.5,2.5
331,194,Popeye Jones,PF,28,BOS,203.2,113.5,18,2,11.4,1.1,2.8,.392,0.0,0.1,.000,1.1,2.8,.400,.392,0.8,0.9,.824,1.6,1.3,2.9,0.8,0.3,0.0,0.4,1.7,3.0
332,212,Raef LaFrentz,C,22,DEN,210.8,111.2,12,12,32.3,4.9,10.8,.457,1.0,2.6,.387,3.9,8.2,.480,.504,3.0,4.0,.750,2.8,4.8,7.6,0.7,0.8,1.4,0.8,3.2,13.8
333,182,Randell Jackson,PF,23,WAS,210.8,97.6,27,8,10.0,1.7,4.0,.426,0.0,0.3,.143,1.7,3.7,.446,.431,0.8,1.2,.656,1.1,0.9,2.0,0.3,0.1,0.4,1.0,1.1,4.2
334,47,Randy Brown,PG,30,CHI,188.0,86.3,39,32,29.2,3.4,8.2,.414,0.0,0.3,.000,3.4,7.9,.427,.414,2.0,2.6,.757,0.7,2.7,3.4,3.8,1.7,0.2,2.1,2.4,8.8
335,219,Randy Livingston,PG,23,PHO,193.0,94.9,1,0,22.0,5.0,8.0,.625,0.0,0.0,,5.0,8.0,.625,.625,2.0,2.0,1.000,0.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,12.0
336,218,Rashard Lewis,SF,19,SEA,208.3,106.7,20,7,7.3,1.0,2.6,.365,0.1,0.3,.167,0.9,2.3,.391,.375,0.4,0.7,.571,0.7,0.6,1.3,0.2,0.4,0.1,1.0,1.0,2.4
337,399,Rasheed Wallace,PF,24,POR,210.8,104.4,49,18,28.9,4.9,9.7,.508,0.3,0.6,.419,4.7,9.1,.515,.522,2.7,3.7,.732,1.2,3.8,4.9,1.2,1.0,1.1,1.6,3.6,12.8
338,278,Rasho NesteroviÄ,C,22,MIN,213.4,115.8,2,0,15.0,1.5,6.0,.250,0.0,0.0,,1.5,6.0,.250,.250,1.0,1.0,1.000,1.5,2.5,4.0,0.5,0.0,0.0,0.5,2.5,4.0
339,3,Ray Allen,SG,23,MIL,195.6,93.1,50,50,34.4,6.1,13.5,.450,1.5,4.2,.356,4.6,9.3,.492,.505,3.5,3.9,.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1
340,196,Reggie Jordan,SG,31,MIN,193.0,88.5,27,1,11.0,0.6,2.0,.278,0.0,0.0,,0.6,2.0,.278,.278,0.8,1.4,.553,1.0,1.2,2.2,1.5,0.4,0.2,0.5,1.4,1.9
341,258,Reggie Miller,SG,33,IND,200.7,84.0,50,50,35.7,5.9,13.4,.438,2.1,5.5,.385,3.8,7.9,.475,.517,4.5,4.9,.915,0.5,2.2,2.7,2.2,0.7,0.2,1.5,2.0,18.4
342,357,Reggie Slater,PF,28,TOR,200.7,97.6,30,0,8.8,1.0,2.7,.383,0.0,0.0,,1.0,2.7,.383,.383,1.8,2.8,.624,1.2,1.1,2.3,0.2,0.1,0.1,0.8,1.7,3.8
